id;company_name;short_name;name;surname;address;postal_code;city;n_ip;phone;form_of_taxation;v_a_tpayer;z_u_seasy_start;z_u_small;z_u_sdisease;is_zu_spayer
1;Corporate;Enterprise-wide Benin;Tuna Response invoice;alarm Jamaica;system Gorgeous Rubber Pants;hack;West Bettyeton;Small;31141;Developer Shoes Music;true;false;true;false;false
2;Light;integrate Personal Loan Account;HTTP explicit;Personal Loan Account;Cambridgeshire Norfolk Island;Soap Tasty Metal Sausages Outdoors;Louside;North Dakota incubate deposit;45825;Somalia Web revolutionize;true;true;true;false;false
3;Intelligent Wooden Shirt;Ergonomic Rubber Chicken;Handcrafted Plastic Shirt quantifying;wireless;hybrid;Solomon Islands Dollar;New Trent;Handmade Cotton Bacon Specialist China;42347;South Dakota Wyoming interface;false;false;false;true;true
4;JSON Texas;bandwidth;application Configurable iterate;Berkshire navigating;superstructure;streamline;Port Susanahaven;granular;95680;CFP Franc Borders Borders;false;false;false;false;true
5;Pakistan;parse;neural Wooden Optimization;Tasty Rubber Car mindshare EXE;bandwidth Liaison;program Auto Loan Account Refined;West Mayberg;revolutionize;89189;Steel Avon Visionary;true;false;true;false;true
6;User-centric Principal Pennsylvania;repurpose Sleek;mesh system Triple-buffered;Cotton;Advanced grow;Handmade Wooden Cheese Fresh;Nataliemouth;Idaho Markets grow;28571;EXE;false;false;true;true;false
7;Designer Incredible Fresh Car Tuvalu;Senior Optional Yemeni Rial;Central African Republic;magenta heuristic;Credit Card Account Maryland Legacy;Product;Wiegandton;brand Generic B2B;16967;withdrawal;false;false;false;true;false
8;holistic;Architect;Beauty dynamic schemas;Pound Sterling Keyboard;Licensed Usability models;Personal Loan Account markets;Terryhaven;Rustic Steel Shirt drive;81055;Strategist Shirt;true;true;false;false;true
9;generating bypassing Bypass;Plastic Movies;SMS;Zimbabwe parse Customer;input Accounts;enhance Multi-channelled purple;Port Dorris;white SMTP;75699;Fantastic Concrete Computer Baby;false;true;false;true;true
10;solution connecting;California PNG engage;Burg;transmit Credit Card Account;digital Corporate Checking Account;seamless New York mesh;North Stuart;real-time Berkshire solid state;39654;Home Loan Account;true;true;true;true;false
