id;company_name;short_name;name;postal_code;city;n_ip;phone
1;Configuration Buckinghamshire;Practical Steel Chips;Berkshire concept;Illinois robust;Braulioview;Delaware;40030
2;Pakistan Rupee;Chicken;e-business RSS;Rand Soap;East Alizefort;B2B;34761
3;Movies;Granite Island;Regional;Bedfordshire;Emmytown;online;62790
4;Sleek GB Regional;Home;primary quantify Chips;Guyana;Kubberg;navigate Kiribati;72051
5;Small Wooden Ball Metal Bond Markets Units European Composite Unit (EURCO);Buckinghamshire Antarctica (the territory South of 60 deg S) Refined;back-end enhance;optimal;East Aiyana;software blue;32749
6;Concrete National;Ranch impactful;Berkshire Awesome;pixel Pennsylvania;Holdenmouth;empower;33744
7;Dynamic Home Loan Account;dot-com;methodology Integration Music;Pants;South Carolinahaven;Gorgeous;80586
8;Unbranded Fresh Car;Andorra;Rand Namibia Dollar Executive;incubate Agent TCP;Wolfberg;Fish Tanzanian Shilling;92937
9;Nebraska Mississippi stable;mint green Director system;Buckinghamshire;Bouvet Island (Bouvetoya);Leoniemouth;Awesome;50610
10;Applications;Montenegro;frictionless;Rubber Awesome Frozen Mouse;New Ralph;Customer-focused;68150
